obsHistID,fieldID,fieldDec,fieldRA
840,1427,-27.438948808815123,53.009138473031555
5508,2786,2.8364848605746538,150.3623455002132
140297,290,-63.321003686678054,349.38645490712327
142365,744,-45.524533499458094,0.0
175907,2412,-5.090328939280773,34.39339593455403
